iso_time_utc	mono_s	mode	event	step_idx	goal_x_cm	goal_y_cm	rover_x_cm	rover_y_cm	goal_dist_cm	status	rover_z_cm	heading_deg	raw_rover_x_m	raw_rover_y_m	raw_rover_z_m	raw_heading_deg	speed	abs_speed	avg_abs_speed	prev_avg_abs_speed	pitch_deg	roll_deg	delta_pitch_deg	delta_roll_deg	attitude_deg	throttle_cmd	steering_cmd	brakes	lights_on	waypoint_idx	target_x_cm	target_y_cm	waypoint_dist_cm	waypoint_avg_dist_cm	total_traveled_cm	stationary_anchor_x_cm	stationary_anchor_y_cm	stationary_elapsed_s	moved_since_anchor_cm	movement_detected	stuck_detection_armed	stuck_rearm_pending	rearm_elapsed_s	startup_grace_elapsed	angle_stuck_detected	speed_drop_stuck_detected	impact_stop_stuck_detected	commanded_stall_detected	lidar_contact_stuck_detected	high_attitude_stuck_detected	near_rollover_detected	rollover_detected	collision_stuck_detected	heading_correction_active	heading_correction_suppressed	reverse_active	recovery_brake_active	recovery_rearm_hold_active	obstacle_added	obstacle_total	path_len	lidar_min_cm	lidar_front_min_cm	lidar_left_min_cm	lidar_right_min_cm	lidar_rear_min_cm	lidar_valid_count	lidar_00_cm	lidar_01_cm	lidar_02_cm	lidar_03_cm	lidar_04_cm	lidar_05_cm	lidar_06_cm	lidar_07_cm	lidar_08_cm	lidar_09_cm	lidar_10_cm	lidar_11_cm	lidar_12_cm	lidar_13_cm	lidar_14_cm	lidar_15_cm	lidar_16_cm
2026-05-18T21:37:27Z	134174.458	dumbdrive_drive	loop_tick	0	-4430.029	-2509.961	-430.029	1490.039	5656.854	Running | Goals: 0	49.994	-123.500	-5671.300	-10077.000	1440.500	213.500	8.000	8.000	8.000		5.400	-0.900			5.400	10.000	-0.329	0	0	57	-733.583	1186.486	429.289	429.289	49.994	-430.029	1490.039	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	221.370	436.640	439.570	380.110	221.370	13	-1.000	555.240	636.350	544.310	-1.000	439.570	436.640	443.750	380.110	747.030	245.190	221.370	536.680	-1.000	631.560	-1.000	957.690
2026-05-18T21:37:27Z	134174.676	dumbdrive_drive	loop_tick	1	-4430.029	-2509.961	-430.029	1490.039	5656.854	Running | Goals: 0	49.994	-123.500	-5671.300	-10077.000	1440.500	213.500	8.000	8.000	8.000	8.000	5.400	-0.900	0.000	0.000	5.400	10.000	-0.329	0	0	57	-733.583	1186.486	429.289	429.289	49.994	-430.029	1490.039	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	221.370	436.640	439.570	380.110	221.370	13	-1.000	555.240	636.350	544.310	-1.000	439.570	436.640	443.750	380.110	747.030	245.190	221.370	536.680	-1.000	631.560	-1.000	957.690
2026-05-18T21:37:27Z	134174.897	dumbdrive_drive	loop_tick	2	-4430.029	-2509.961	-430.029	1490.039	5656.854	Running | Goals: 0	49.994	-123.500	-5671.300	-10077.000	1440.500	213.500	8.000	8.000	8.000	8.000	5.400	-0.900	0.000	0.000	5.400	10.000	-0.329	0	0	57	-733.583	1186.486	429.289	429.289	49.994	-430.029	1490.039	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	221.370	436.640	439.570	380.110	221.370	13	-1.000	555.240	636.350	544.310	-1.000	439.570	436.640	443.750	380.110	747.030	245.190	221.370	536.680	-1.000	631.560	-1.000	957.690
2026-05-18T21:37:28Z	134175.118	dumbdrive_drive	loop_tick	3	-4430.029	-2509.961	-430.029	1490.039	5656.854	Running | Goals: 0	49.994	-123.500	-5671.300	-10077.000	1440.500	213.500	8.000	8.000	8.000	8.000	5.400	-0.900	0.000	0.000	5.400	10.000	-0.329	0	0	57	-733.583	1186.486	429.289	429.289	49.994	-430.029	1490.039	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	221.370	436.640	439.570	380.110	221.370	13	-1.000	555.240	636.350	544.310	-1.000	439.570	436.640	443.750	380.110	747.030	245.190	221.370	536.680	-1.000	631.560	-1.000	957.690
2026-05-18T21:37:28Z	134175.345	dumbdrive_drive	loop_tick	4	-4430.029	-2509.961	-430.029	1490.039	5656.854	Running | Goals: 0	49.994	-123.500	-5671.300	-10077.000	1440.500	213.500	8.000	8.000	8.000	8.000	5.400	-0.900	0.000	0.000	5.400	10.000	-0.329	0	0	57	-733.583	1186.486	429.289	429.289	49.994	-430.029	1490.039	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649	221.370	436.640	439.570	380.110	221.370	13	-1.000	555.240	636.350	544.310	-1.000	439.570	436.640	443.750	380.110	747.030	245.190	221.370	536.680	-1.000	631.560	-1.000	957.690
2026-05-18T21:37:28Z	134175.573	dumbdrive_drive	loop_tick	5	-4430.029	-2509.961	-600.000	1329.980	5423.493	Running | Goals: 0	70.001	-134.400	-5673.000	-10078.601	1440.700	224.400	9.200	9.200	8.300	8.000	4.400	1.000	-1.000	1.900	4.400	20.000	0.000	0	0	57	-947.435	972.633	498.406	440.809	284.321	-600.000	1329.980	0.000	233.471	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	281.080	350.580	403.000	350.580	281.080	12	-1.000	502.000	-1.000	-1.000	409.940	407.660	413.100	403.000	429.050	633.510	288.090	281.080	706.230	-1.000	359.940	-1.000	350.580
2026-05-18T21:37:28Z	134175.801	dumbdrive_drive	loop_tick	6	-4430.029	-2509.961	-600.000	1329.980	5423.493	Running | Goals: 0	70.001	-134.400	-5673.000	-10078.601	1440.700	224.400	9.200	9.200	8.600	8.300	4.400	1.000	0.000	0.000	4.400	20.000	0.000	0	0	57	-947.435	972.633	498.406	449.037	284.321	-600.000	1329.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	281.080	350.580	403.000	350.580	281.080	12	-1.000	502.000	-1.000	-1.000	409.940	407.660	413.100	403.000	429.050	633.510	288.090	281.080	706.230	-1.000	359.940	-1.000	350.580
2026-05-18T21:37:29Z	134176.025	dumbdrive_drive	loop_tick	7	-4430.029	-2509.961	-600.000	1329.980	5423.493	Running | Goals: 0	70.001	-134.400	-5673.000	-10078.601	1440.700	224.400	9.200	9.200	8.900	8.600	4.400	1.000	0.000	0.000	4.400	20.000	0.000	0	0	57	-947.435	972.633	498.406	455.208	284.321	-600.000	1329.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	281.080	350.580	403.000	350.580	281.080	12	-1.000	502.000	-1.000	-1.000	409.940	407.660	413.100	403.000	429.050	633.510	288.090	281.080	706.230	-1.000	359.940	-1.000	350.580
2026-05-18T21:37:29Z	134176.251	dumbdrive_drive	loop_tick	8	-4430.029	-2509.961	-600.000	1329.980	5423.493	Running | Goals: 0	70.001	-134.400	-5673.000	-10078.601	1440.700	224.400	9.200	9.200	9.200	8.900	4.400	1.000	0.000	0.000	4.400	20.000	0.000	0	0	57	-947.435	972.633	498.406	460.008	284.321	-600.000	1329.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	281.080	350.580	403.000	350.580	281.080	12	-1.000	502.000	-1.000	-1.000	409.940	407.660	413.100	403.000	429.050	633.510	288.090	281.080	706.230	-1.000	359.940	-1.000	350.580
2026-05-18T21:37:29Z	134176.478	dumbdrive_drive	loop_tick	9	-4430.029	-2509.961	-780.029	1179.980	5190.199	Running | Goals: 0	79.999	-138.400	-5674.800	-10080.101	1440.800	228.400	9.300	9.300	9.225	9.200	4.700	0.700	0.300	-0.300	4.700	20.000	0.197	0	0	57	-1087.988	832.080	464.622	460.469	518.864	-780.029	1179.980	0.000	234.330	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	80.560	80.560	414.940	80.560	267.050	12	-1.000	521.700	-1.000	530.100	80.560	418.880	420.260	414.940	414.210	673.890	272.750	267.050	674.410	-1.000	-1.000	-1.000	90.730
2026-05-18T21:37:29Z	134176.698	dumbdrive_drive	loop_tick	10	-4430.029	-2509.961	-780.029	1179.980	5190.199	Running | Goals: 0	79.999	-138.400	-5674.800	-10080.101	1440.800	228.400	9.300	9.300	9.250	9.225	4.700	0.700	0.000	0.000	4.700	20.000	0.197	0	0	57	-1087.988	832.080	464.622	460.847	518.864	-780.029	1179.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	80.560	80.560	414.940	80.560	267.050	12	-1.000	521.700	-1.000	530.100	80.560	418.880	420.260	414.940	414.210	673.890	272.750	267.050	674.410	-1.000	-1.000	-1.000	90.730
2026-05-18T21:37:29Z	134176.921	dumbdrive_drive	loop_tick	11	-4430.029	-2509.961	-780.029	1179.980	5190.199	Running | Goals: 0	79.999	-138.400	-5674.800	-10080.101	1440.800	228.400	9.300	9.300	9.275	9.250	4.700	0.700	0.000	0.000	4.700	20.000	0.197	0	0	57	-1087.988	832.080	464.622	461.161	518.864	-780.029	1179.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	80.560	80.560	414.940	80.560	267.050	12	-1.000	521.700	-1.000	530.100	80.560	418.880	420.260	414.940	414.210	673.890	272.750	267.050	674.410	-1.000	-1.000	-1.000	90.730
2026-05-18T21:37:30Z	134177.139	dumbdrive_drive	loop_tick	12	-4430.029	-2509.961	-780.029	1179.980	5190.199	Running | Goals: 0	79.999	-138.400	-5674.800	-10080.101	1440.800	228.400	9.300	9.300	9.300	9.275	4.700	0.700	0.000	0.000	4.700	20.000	0.197	0	0	57	-1087.988	832.080	464.622	461.427	518.864	-780.029	1179.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	80.560	80.560	414.940	80.560	267.050	12	-1.000	521.700	-1.000	530.100	80.560	418.880	420.260	414.940	414.210	673.890	272.750	267.050	674.410	-1.000	-1.000	-1.000	90.730
2026-05-18T21:37:30Z	134177.356	dumbdrive_drive	loop_tick	13	-4430.029	-2509.961	-780.029	1179.980	5190.199	Running | Goals: 0	79.999	-138.400	-5674.800	-10080.101	1440.800	228.400	9.300	9.300	9.300	9.300	4.700	0.700	0.000	0.000	4.700	20.000	0.197	0	0	57	-1087.988	832.080	464.622	461.656	518.864	-780.029	1179.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592	80.560	80.560	414.940	80.560	267.050	12	-1.000	521.700	-1.000	530.100	80.560	418.880	420.260	414.940	414.210	673.890	272.750	267.050	674.410	-1.000	-1.000	-1.000	90.730
2026-05-18T21:37:30Z	134177.579	dumbdrive_drive	loop_tick	14	-4430.029	-2509.961	-970.020	1010.058	4935.808	Running | Goals: 0	99.994	-139.400	-5676.700	-10081.800	1441.000	229.400	10.600	10.600	9.625	9.300	5.100	0.600	0.400	-0.100	5.100	20.000	0.150	0	0	57	-1297.413	672.655	470.136	462.221	774.539	-970.020	1010.058	0.000	254.892	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	250.240	434.020	418.070	413.680	250.240	9	-1.000	-1.000	-1.000	547.920	-1.000	434.020	434.680	418.070	413.680	692.950	257.640	250.240	664.080	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:30Z	134177.807	dumbdrive_drive	loop_tick	15	-4430.029	-2509.961	-970.020	1010.058	4935.808	Running | Goals: 0	99.994	-139.400	-5676.700	-10081.800	1441.000	229.400	10.600	10.600	9.950	9.625	5.100	0.600	0.000	0.000	5.100	20.000	0.150	0	0	57	-1297.413	672.655	470.136	462.716	774.539	-970.020	1010.058	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	250.240	434.020	418.070	413.680	250.240	9	-1.000	-1.000	-1.000	547.920	-1.000	434.020	434.680	418.070	413.680	692.950	257.640	250.240	664.080	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:31Z	134178.032	dumbdrive_drive	loop_tick	16	-4430.029	-2509.961	-970.020	1010.058	4935.808	Running | Goals: 0	99.994	-139.400	-5676.700	-10081.800	1441.000	229.400	10.600	10.600	10.275	9.950	5.100	0.600	0.000	0.000	5.100	20.000	0.150	0	0	57	-1297.413	672.655	470.136	463.152	774.539	-970.020	1010.058	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	250.240	434.020	418.070	413.680	250.240	9	-1.000	-1.000	-1.000	547.920	-1.000	434.020	434.680	418.070	413.680	692.950	257.640	250.240	664.080	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:31Z	134178.262	dumbdrive_drive	loop_tick	17	-4430.029	-2509.961	-970.020	1010.058	4935.808	Running | Goals: 0	99.994	-139.400	-5676.700	-10081.800	1441.000	229.400	10.600	10.600	10.600	10.275	5.100	0.600	0.000	0.000	5.100	20.000	0.150	0	0	57	-1297.413	672.655	470.136	463.540	774.539	-970.020	1010.058	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	250.240	434.020	418.070	413.680	250.240	9	-1.000	-1.000	-1.000	547.920	-1.000	434.020	434.680	418.070	413.680	692.950	257.640	250.240	664.080	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:31Z	134178.487	dumbdrive_drive	loop_tick	18	-4430.029	-2509.961	-1180.029	829.980	4660.226	Running | Goals: 0	129.999	-138.700	-5678.800	-10083.601	1441.300	228.700	10.900	10.900	10.675	10.600	4.300	0.600	-0.800	0.000	4.300	20.000	0.205	0	0	57	-1487.988	482.080	464.622	463.597	1052.806	-1180.029	829.980	0.000	276.645	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	46.540	412.210	409.740	46.540	297.670	10	-1.000	515.990	-1.000	517.230	-1.000	412.210	412.830	409.740	46.540	685.100	301.990	297.670	740.860	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:31Z	134178.714	dumbdrive_drive	loop_tick	19	-4430.029	-2509.961	-1180.029	829.980	4660.226	Running | Goals: 0	129.999	-138.700	-5678.800	-10083.601	1441.300	228.700	10.900	10.900	10.750	10.675	4.300	0.600	0.000	0.000	4.300	20.000	0.205	0	0	57	-1487.988	482.080	464.622	463.648	1052.806	-1180.029	829.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	46.540	412.210	409.740	46.540	297.670	10	-1.000	515.990	-1.000	517.230	-1.000	412.210	412.830	409.740	46.540	685.100	301.990	297.670	740.860	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:31Z	134178.945	dumbdrive_drive	loop_tick	20	-4430.029	-2509.961	-1180.029	829.980	4660.226	Running | Goals: 0	129.999	-138.700	-5678.800	-10083.601	1441.300	228.700	10.900	10.900	10.825	10.750	4.300	0.600	0.000	0.000	4.300	20.000	0.205	0	0	57	-1487.988	482.080	464.622	463.695	1052.806	-1180.029	829.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	46.540	412.210	409.740	46.540	297.670	10	-1.000	515.990	-1.000	517.230	-1.000	412.210	412.830	409.740	46.540	685.100	301.990	297.670	740.860	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:32Z	134179.174	dumbdrive_drive	loop_tick	21	-4430.029	-2509.961	-1180.029	829.980	4660.226	Running | Goals: 0	129.999	-138.700	-5678.800	-10083.601	1441.300	228.700	10.900	10.900	10.900	10.825	4.300	0.600	0.000	0.000	4.300	20.000	0.205	0	0	57	-1487.988	482.080	464.622	463.737	1052.806	-1180.029	829.980	0.000	0.000	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	46.540	412.210	409.740	46.540	297.670	10	-1.000	515.990	-1.000	517.230	-1.000	412.210	412.830	409.740	46.540	685.100	301.990	297.670	740.860	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:32Z	134179.411	dumbdrive_drive	loop_tick	22	-4430.029	-2509.961	-1389.990	640.039	4377.709	Running | Goals: 0	149.994	-138.200	-5680.900	-10085.500	1441.500	228.200	11.100	11.100	10.950	10.900	4.400	0.500	0.100	-0.100	4.400	20.000	0.000	0	0	57	-1737.953	332.115	464.645	463.776	1336.639	-1389.990	640.039	0.000	283.128	1	1	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	78.530	417.700	417.340	78.530	78.530	8	-1.000	-1.000	-1.000	527.940	-1.000	417.700	418.000	417.340	416.960	-1.000	281.230	282.060	78.530	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:32Z	134179.640	dumbdrive_drive	loop_tick	23	-4430.029	-2509.961	-1389.990	640.039	4377.709	Running | Goals: 0	149.994	-138.200	-5680.900	-10085.500	1441.500	228.200	11.100	11.100	11.000	10.950	4.400	0.500	0.000	0.000	4.400	20.000	0.000	0	0	57	-1737.953	332.115	464.645	463.813	1336.639	-1389.990	640.039	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	78.530	417.700	417.340	78.530	78.530	8	-1.000	-1.000	-1.000	527.940	-1.000	417.700	418.000	417.340	416.960	-1.000	281.230	282.060	78.530	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:32Z	134179.861	dumbdrive_drive	loop_tick	24	-4430.029	-2509.961	-1389.990	640.039	4377.709	Running | Goals: 0	149.994	-138.200	-5680.900	-10085.500	1441.500	228.200	11.100	11.100	11.050	11.000	4.400	0.500	0.000	0.000	4.400	20.000	0.000	0	0	57	-1737.953	332.115	464.645	463.846	1336.639	-1389.990	640.039	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	78.530	417.700	417.340	78.530	78.530	8	-1.000	-1.000	-1.000	527.940	-1.000	417.700	418.000	417.340	416.960	-1.000	281.230	282.060	78.530	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:33Z	134180.089	dumbdrive_drive	loop_tick	25	-4430.029	-2509.961	-1389.990	640.039	4377.709	Running | Goals: 0	149.994	-138.200	-5680.900	-10085.500	1441.500	228.200	11.100	11.100	11.100	11.050	4.400	0.500	0.000	0.000	4.400	20.000	0.000	0	0	57	-1737.953	332.115	464.645	463.877	1336.639	-1389.990	640.039	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	78.530	417.700	417.340	78.530	78.530	8	-1.000	-1.000	-1.000	527.940	-1.000	417.700	418.000	417.340	416.960	-1.000	281.230	282.060	78.530	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:33Z	134180.316	dumbdrive_drive	loop_tick	26	-4430.029	-2509.961	-1389.990	640.039	4377.709	Running | Goals: 0	149.994	-138.200	-5680.900	-10085.500	1441.500	228.200	11.100	11.100	11.100	11.100	4.400	0.500	0.000	0.000	4.400	20.000	0.000	0	0	57	-1737.953	332.115	464.645	463.905	1336.639	-1389.990	640.039	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	78.530	417.700	417.340	78.530	78.530	8	-1.000	-1.000	-1.000	527.940	-1.000	417.700	418.000	417.340	416.960	-1.000	281.230	282.060	78.530	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:33Z	134180.546	dumbdrive_drive	loop_tick	27	-4430.029	-2509.961	-1610.010	450.000	4088.261	Running | Goals: 0	170.001	-138.200	-5683.100	-10087.400	1441.700	228.200	11.000	11.000	11.075	11.100	4.400	0.500	0.000	0.000	4.400	20.000	0.067	0	0	57	-1947.380	122.688	470.055	464.125	1628.055	-1610.010	450.000	0.000	290.729	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	277.680	422.300	422.300	424.510	277.680	10	-1.000	538.810	-1.000	536.140	-1.000	422.300	424.510	425.370	429.600	728.480	277.680	278.330	559.490	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:33Z	134180.767	dumbdrive_drive	loop_tick	28	-4430.029	-2509.961	-1610.010	450.000	4088.261	Running | Goals: 0	170.001	-138.200	-5683.100	-10087.400	1441.700	228.200	11.000	11.000	11.050	11.075	4.400	0.500	0.000	0.000	4.400	20.000	0.067	0	0	57	-1947.380	122.688	470.055	464.329	1628.055	-1610.010	450.000	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	277.680	422.300	422.300	424.510	277.680	10	-1.000	538.810	-1.000	536.140	-1.000	422.300	424.510	425.370	429.600	728.480	277.680	278.330	559.490	-1.000	-1.000	-1.000	-1.000
2026-05-18T21:37:33Z	134180.992	dumbdrive_drive	loop_tick	29	-4430.029	-2509.961	-1610.010	450.000	4088.261	Running | Goals: 0	170.001	-138.200	-5683.100	-10087.400	1441.700	228.200	11.000	11.000	11.025	11.050	4.400	0.500	0.000	0.000	4.400	20.000	0.067	0	0	57	-1947.380	122.688	470.055	464.520	1628.055	-1610.010	450.000	0.000	0.000	1	1	0	0.000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	277.680	422.300	422.300	424.510	277.680	10	-1.000	538.810	-1.000	536.140	-1.000	422.300	424.510	425.370	429.600	728.480	277.680	278.330	559.490	-1.000	-1.000	-1.000	-1.000
